idviv,fecharecol,lat,lon,estadoviv,eval+ID,eval+PD,eval+IDPD,numidad,numidn,numpda,numpdn,presidad,presidn,prespda,prespdn,otraespecie,idotra,pdotra,menores0a4,menores5a14,totalhabit,techocol,paredcol,numperro,numgato,numgallinas,numcabras,gallinerosize,corralsize,otroanimal,cantotro,numinsectos,idnegativo,idpositivo,pdnegativo,pdpositivo
1011208844,9/11/2018,-2843917997,-6571023904,Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,0,0,0,0,,,,,,,,,
1011208948,9/11/2018,-2843755899,-6570969203,Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,No,No,2,1,0,0,,,,,,,,,
1011208947,9/11/2018,-2843868602,-6570999001,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011208842,9/11/2018,-2843927996,-6571026804,Evaluada,,,,0,0,0,0,,,,,,,,0,2,5,No,No,1,0,0,0,,,,,,,,,
1011208841,9/11/2018,-2843966603,-6571009596,Evaluada,,,,0,0,0,0,,,,,,,,0,2,4,No,No,2,1,0,0,,,,,,,,,
1011208840,9/11/2018,-2843989997,-65709859,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011208843,9/11/2018,-2843927996,-6571026804,Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,0,0,0,0,,,,,,,,,
1011208964,13/11/2018,-2843890898,-6571272201,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011208965,13/11/2018,-2843887302,-6571255697,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,2,3,0,0,,,,,,,,,
1011209028,16/11/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,0,2,4,No,No,5,1,0,0,,,,,,,,,
1011209029,16/11/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,0,0,0,0,,,,,,,,,
1011209026,16/11/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,1,0,0,0,,,,,,,,,
1011209027,16/11/2018,,,Evaluada,,1,,0,0,1,1,,,,,,,,0,0,1,No,No,1,0,20,0,,,equinos,1,3,0,0,3,0
1011209036,16/11/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,2,1,1,0,Chico,,Otros animales,1,,,,,
1011209035,16/11/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,1,0,4,No,No,2,0,0,0,,,,,,,,,
1011209033,16/11/2018,,,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209034,16/11/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,1,0,5,No,No,2,0,0,0,,,,,,,,,
1011209037,16/11/2018,,,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209039,16/11/2018,,,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209038,16/11/2018,,,Negada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209040,16/11/2018,,,Negada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209041,16/11/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,1,1,4,No,No,2,0,0,0,,,,,,,,,
1011209043,16/11/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,0,2,4,No,No,4,0,0,0,,,,,,,,,
1011208946,16/11/2018,-2843907402,-6571068504,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,0,1,3,No,No,2,0,0,0,,,,,,,,,
1011209042,16/11/2018,,,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209046,16/11/2018,,,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209045,16/11/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,1,0,0,0,,,,,,,,,
1011209044,16/11/2018,,,Deshabitada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011208995,15/11/2018,-28438395,-6571264498,Evaluada,,,,0,0,0,0,,,,,,,,0,1,5,No,No,1,0,0,0,,,,,,,,,
1011208996,15/11/2018,-2843828402,-6571258597,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209001,15/11/2018,-2843794296,-6571174602,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209000,15/11/2018,-2843791598,-6571189203,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011208999,15/11/2018,-2843792997,-6571198901,Evaluada,,,,0,0,0,0,,,,,,,,1,1,6,No,No,1,3,0,0,,,,,,,,,
1011208998,15/11/2018,-2843792603,-6571249997,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011208997,15/11/2018,-28438107,-6571255697,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,2,0,0,0,,,,,,,,,
1011209003,15/11/2018,-2844198598,-6571212597,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209004,15/11/2018,-2844209402,-6571178399,Negada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209008,15/11/2018,-2844042803,-6571168802,Evaluada,,,,0,0,0,0,,,,,,,,0,4,6,No,No,1,0,0,0,,,,,,,,,
1011209007,15/11/2018,-2844110001,-6571142097,Evaluada,,,,0,0,0,0,,,,,,,,0,2,6,Si,No,2,0,0,0,,,,,,,,,
1011209006,15/11/2018,-2844120503,-6571144201,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209005,15/11/2018,-2844138701,-65711526,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,1,1,7,0,Chico,,Otros animales,3,,,,,
1011209002,15/11/2018,-2844194801,-6571232798,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209009,15/11/2018,-2844189797,-6571245002,Evaluada,,,,0,0,0,0,,,,,,,,0,1,2,Si,No,1,0,0,0,,,,,,,,,
1011209010,15/11/2018,,,Evaluada,,,,0,0,0,0,,,,,,,,0,1,3,No,No,3,0,0,0,,,,,,,,,
1011209011,15/11/2018,-2844343898,-6571301596,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209014,15/11/2018,-2844334602,-6571227198,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209013,15/11/2018,-2844314402,-65712763,Evaluada,,,,0,0,0,0,,,,,,,,1,2,5,No,No,0,0,0,0,,,,,,,,,
1011209012,15/11/2018,-2844347502,-6571344604,Deshabitada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209016,15/11/2018,-2844370401,-65712447,Evaluada,,,,0,0,0,0,,,,,,,,0,2,4,No,No,7,1,0,0,,,,,,,,,
1011209015,15/11/2018,-2844340897,-6571262796,Evaluada,,,,0,0,0,0,,,,,,,,1,1,4,No,No,3,0,0,0,,,Otros animales,1,,,,,
1011209020,15/11/2018,-2844254773,-657141549,Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,No,No,3,0,0,0,,,,,,,,,
1011209024,15/11/2018,-2844361089,-6571458824,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209018,15/11/2018,-2844189227,-6571392666,Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011209023,15/11/2018,-2844363,-6571456963,Evaluada,,,,0,0,0,0,,,,,,,,0,1,3,No,No,2,0,0,0,,,,,,,,,
1011209022,15/11/2018,-2844304436,-6571423444,Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,1,0,0,0,,,,,,,,,
1011209021,15/11/2018,-2844296599,-6571438506,Evaluada,,,,0,0,0,0,,,,,,,,0,1,6,No,No,1,0,0,0,,,Otros animales,2,,,,,
1011209017,15/11/2018,-2844172471,-6571384795,Evaluada,,,,0,0,0,0,,,,,,,,0,1,5,No,No,1,0,0,0,,,,,,,,,
1011209019,15/11/2018,-2844211816,-6571398944,Evaluada,,,,0,0,0,0,,,,,,,,0,0,4,No,No,3,1,0,0,,,Otros animales,1,,,,,
1011208872,14/11/2018,-2844183368,-6571066995,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,0,0,3,No,No,1,0,60,0,Mediano,,,,,,,,
1011208869,14/11/2018,-2844252032,-6571089844,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,0,0,2,No,No,3,3,0,0,,,,,,,,,
1011208976,14/11/2018,-2844015076,-6570998004,Evaluada y Rociada/tratada,,,,,,,,No,No,No,No,,,,0,0,2,No,No,7,3,10,0,Mediano,,Otros animales,2,,,,,
