idviv,fecharecol,lat,Columna1,LAT2,lon,Columna3,LON4,estadoviv,eval+ID,eval+PD,eval+IDPD,numidad,numidn,numpda,numpdn,presidad,presidn,prespda,prespdn,otraespecie,idotra,pdotra,menores0a4,menores5a14,totalhabit,techocol,paredcol,numperro,numgato,numgallinas,numcabras,gallinerosize,corralsize,otroanimal,cantotro,numinsectos,idnegativo,idpositivo,pdnegativo,pdpositivo
1011208644,24/10/2018,-28,45337497,"-28,453375",-65,714,"-65,714",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205775,14/5/2018,-28,43697502,"-28,436975",-65,7033,"-65,7033",Negada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205775,17/4/2018,-28,43697502,"-28,436975",-65,7033,"-65,7033",Evaluada,1,,,1,0,0,0,,,,,,,,0,3,11,No,No,6,1,2,0,,,porcinos,1,,,,,
1011208049,18/9/2018,-28,44880398,"-28,448804",-65,69414,"-65,69414",Evaluada,,,,0,0,0,0,,,,,,,,1,0,3,No,No,5,0,0,0,,,,,,,,,
1011206985,17/9/2018,-28,45020804,"-28,450208",-65,69447,"-65,69447",Negada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206926,14/9/2018,-28,45032597,"-28,450326",-65,69473,"-65,69473",Evaluada,,,,0,0,0,0,,,,,,,,0,1,4,No,No,2,0,0,0,,,,,,,,,
1011206938,17/9/2018,-28,44937496,"-28,449375",-65,69542,"-65,69542",Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,3,0,0,0,,,,,,,,,
1011206816,11/9/2018,-28,45522201,"-28,455222",-65,69575,"-65,69575",Evaluada,,,,0,0,0,0,,,,,,,,3,2,8,No,No,3,1,0,0,,,,,,,,,
1011206791,10/9/2018,-28,455235,"-28,004552",-65,69634,"-65,69634",Evaluada,,,,0,0,0,0,,,,,,,,0,3,6,No,No,1,0,0,0,,,,,,,,,
1011205465,10/4/2018,-28,45887098,"-28,458871",-65,69729,"-65,69729",Evaluada,,,,0,0,0,0,,,,,,,,0,0,6,No,No,3,3,15,,,,conejos,22,,,,,
1011206783,10/9/2018,-28,45510701,"-28,455107",-65,69749,"-65,69749",Evaluada,,,,0,0,0,0,,,,,,,,1,0,4,No,No,2,0,0,0,,,,,,,,,
1011206316,28/8/2018,-28,46367599,"-28,463676",-65,69762,"-65,69762",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205353,10/4/2018,-28,46159896,"-28,461599",-65,69798,"-65,69798",Evaluada,,,,0,0,0,0,,,,,,,,0,2,4,No,No,0,0,0,0,,,,,,,,,
1011206854,21/9/2018,-28,45372399,"-28,453724",-65,69811,"-65,69811",Evaluada y Rociada/tratada,,1,,,,,,No,No,Si,No,,,,0,1,2,No,No,8,1,20,0,,,Otros animales,5,1,0,0,1,0
1011206854,11/9/2018,-28,45372399,"-28,453724",-65,69811,"-65,69811",Evaluada,1,,,14,26,0,0,,,,,,,,0,1,2,Si,Si,7,1,27,0,,,,,54,54,0,0,0
1011205637,11/4/2018,-28,45307398,"-28,453074",-65,69844,"-65,69844",Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,2,1,0,0,,,equinos,3,,,,,
1011208234,24/9/2018,-28,44427901,"-28,444279",-65,69926,"-65,69926",Negada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205847,16/4/2018,-28,44626502,"-28,446265",-65,69936,"-65,69936",Evaluada,,,,0,0,0,0,,,,,,,,0,2,4,No,No,1,0,0,0,,,Otros animales,1,,,,,
1011208293,28/9/2018,-28,44695401,"-28,446954",-65,70392,"-65,70392",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011208400,8/10/2018,-28,45863998,"-28,458640",-65,70461,"-65,70461",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205927,17/4/2018,-28,44534804,"-28,445348",-65,70612,"-65,70612",Evaluada,,,,0,0,0,0,,,,,,,,0,2,4,Si,No,1,0,0,0,,,,,,,,,
1011206155,20/4/2018,-28,44769397,"-28,447694",-65,70855,"-65,70855",Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,No,No,1,0,0,0,,,,,,,,,
1011208379,3/10/2018,-28,44726498,"-28,447265",-65,70983,"-65,70983",Evaluada,,,,0,0,0,0,,,,,,,,2,1,9,No,No,7,0,0,0,,,,,,,,,
1011208427,8/10/2018,-28,45164302,"-28,451643",-65,71134,"-65,71134",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011208862,8/11/2018,-28,443127,"-28,004431",-65,71157,"-65,71157",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011208444,16/10/2018,-28,45177302,"-28,451773",-65,71771,"-65,71771",Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,0,1,0,0,,,,,,,,,
1011205837,13/4/2018,-28,45127396,"-28,451274",-65,684591,"-65,684591",Evaluada,,,,0,0,0,0,,,,,,,,0,0,1,Si,No,1,0,20,0,Chico,,aves de corral,1,,,,,
1011208111,20/9/2018,-28,45197896,"-28,451979",-65,685626,"-65,685626",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205840,13/4/2018,-28,451108,"-28,004511",-65,685669,"-65,685669",Evaluada,,,,0,0,0,0,,,,,,,,1,2,5,Si,Si,0,0,0,0,,,,,,,,,
1011205832,13/4/2018,-28,45217602,"-28,452176",-65,686273,"-65,686273",Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,2,0,0,0,,,Otros animales,1,,,,,
1011205343,10/4/2018,-28,45851501,"-28,458515",-65,686287,"-65,686287",Evaluada,,,,0,0,0,0,,,,,,,,0,1,3,No,No,0,1,0,0,,,,,,,,,
1011208121,20/9/2018,-28,45249001,"-28,452490",-65,686575,"-65,686575",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011208134,20/9/2018,-28,45086501,"-28,450865",-65,686691,"-65,686691",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206049,23/4/2018,-28,44963002,"-28,449630",-65,690919,"-65,690919",Evaluada,,,,0,0,0,0,,,,,,,,0,0,3,No,No,7,0,0,0,,,,,,,,,
1011206213,23/4/2018,-28,44900096,"-28,449001",-65,691034,"-65,691034",Evaluada,,,,0,0,0,0,,,,,,,,1,2,7,No,No,1,0,0,0,,,,,,,,,
1011208146,20/9/2018,-28,44924697,"-28,449247",-65,691076,"-65,691076",Evaluada,,,,0,0,0,0,,,,,,,,0,5,9,No,No,3,0,0,0,,,,,,,,,
1011208144,20/9/2018,-28,44946004,"-28,449460",-65,691106,"-65,691106",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011206903,14/9/2018,-28,45095101,"-28,450951",-65,692084,"-65,692084",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011208080,19/9/2018,-28,44733899,"-28,447339",-65,692888,"-65,692888",Evaluada,,,,0,0,0,0,,,,,,,,0,2,4,No,No,0,0,0,0,,,,,,,,,
1011208062,19/9/2018,-28,44684597,"-28,446846",-65,692888,"-65,692888",Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,0,0,0,0,,,,,,,,,
1011206830,12/9/2018,-28,451238,"-28,004512",-65,693105,"-65,693105",Evaluada,,,,0,0,0,0,,,,,,,,2,1,4,Si,No,0,0,0,0,,,,,,,,,
1011206777,11/9/2018,-28,45539702,"-28,455397",-65,693205,"-65,693205",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011208072,19/9/2018,-28,44785297,"-28,447853",-65,693248,"-65,693248",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011208063,19/9/2018,-28,44659401,"-28,446594",-65,693262,"-65,693262",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011205602,11/4/2018,-28,45541202,"-28,455412",-65,693277,"-65,693277",Evaluada,,,,0,0,0,0,,,,,,,,1,3,6,Si,Si,2,1,7,0,Chico,,Otros animales,6,,,,,
1011208014,18/9/2018,-28,44739901,"-28,447399",-65,693493,"-65,693493",Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,1,0,0,0,,,,,,,,,
1011205603,11/4/2018,-28,45534899,"-28,455349",-65,693507,"-65,693507",Evaluada,,,,0,0,0,0,,,,,,,,0,2,4,No,No,5,1,0,0,,,,,,,,,
1011208075,19/9/2018,-28,44736003,"-28,447360",-65,693564,"-65,693564",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011208045,18/9/2018,-28,44925996,"-28,449260",-65,693867,"-65,693867",Evaluada,,,,0,0,0,0,,,,,,,,0,2,5,Si,No,3,0,0,0,,,,,,,,,
1011205329,10/4/2018,-28,46827003,"-28,468270",-65,693895,"-65,693895",Evaluada,,,,0,0,0,0,,,,,,,,0,3,5,No,No,8,4,0,0,,,,,,,,,
1011208048,18/9/2018,-28,44886702,"-28,448867",-65,694025,"-65,694025",Evaluada,,,,0,0,0,0,,,,,,,,1,2,5,No,No,2,0,0,0,,,,,,,,,
1011206984,17/9/2018,-28,45023503,"-28,450235",-65,694154,"-65,694154",Evaluada,,,,0,0,0,0,,,,,,,,0,0,4,No,No,3,1,0,0,,,,,,,,,
1011206889,12/9/2018,-28,45091304,"-28,450913",-65,694398,"-65,694398",Evaluada,,,,0,0,0,0,,,,,,,,0,1,3,Si,Si,1,0,0,0,,,,,,,,,
1011208024,18/9/2018,-28,44819303,"-28,448193",-65,694529,"-65,694529",Evaluada,,,,0,0,0,0,,,,,,,,0,0,2,No,No,0,0,0,0,,,,,,,,,
1011205707,13/4/2018,-28,44889501,"-28,448895",-65,694585,"-65,694585",Evaluada,,,,0,0,0,0,,,,,,,,1,0,4,No,No,0,0,0,0,,,,,,,,,
1011208037,19/9/2018,-28,44710497,"-28,447105",-65,694601,"-65,694601",Evaluada,,,,0,0,0,0,,,,,,,,1,2,5,No,No,0,0,0,0,,,,,,,,,
1011208097,19/9/2018,-28,44684304,"-28,446843",-65,694615,"-65,694615",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011208051,18/9/2018,-28,449022,"-28,004490",-65,694643,"-65,694643",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1011208052,18/9/2018,-28,44924596,"-28,449246",-65,694759,"-65,694759",Cerrada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
