"","idviv","posiTi","where","latitud","longitud","otraespecie","menores0a4","menores5a14","totalhabit","numperro","numgato","numgallinas","numcabras","otroanimal","cantotro","where.Tg","techo","pared"
"1",1011205775,1,"domi","-28.43697502","-65.7033",NA,0,3,11,6,1,2,0,"porcinos",1,NA,0,0
"2",1011208049,0,NA,"-28.44880398","-65.69414",NA,1,0,3,5,0,0,0,NA,NA,NA,0,0
"3",1011206926,0,NA,"-28.45032597","-65.69473",NA,0,1,4,2,0,0,0,NA,NA,NA,0,0
"4",1011206938,0,NA,"-28.44937496","-65.69542",NA,0,0,2,3,0,0,0,NA,NA,NA,0,0
"5",1011206816,0,NA,"-28.45522201","-65.69575",NA,3,2,8,3,1,0,0,NA,NA,NA,0,0
"6",1011206791,0,NA,"-28.455235","-65.69634",NA,0,3,6,1,0,0,0,NA,NA,NA,0,0
"7",1011205465,0,NA,"-28.45887098","-65.69729",NA,0,0,6,3,3,15,NA,"conejos",22,NA,0,0
"8",1011206783,0,NA,"-28.45510701","-65.69749",NA,1,0,4,2,0,0,0,NA,NA,NA,0,0
"9",1011205353,0,NA,"-28.46159896","-65.69798",NA,0,2,4,0,0,0,0,NA,NA,NA,0,0
"10",1011206854,1,"peri","-28.45372399","-65.69811",NA,0,1,2,8,1,20,0,"Otros animales",5,NA,0,0
"11",1011206854,1,"domi","-28.45372399","-65.69811",NA,0,1,2,7,1,27,0,NA,NA,NA,1,1
"12",1011205637,0,NA,"-28.45307398","-65.69844",NA,0,0,2,2,1,0,0,"equinos",3,NA,0,0
"13",1011205847,0,NA,"-28.44626502","-65.69936",NA,0,2,4,1,0,0,0,"Otros animales",1,NA,0,0
"14",1011205927,0,NA,"-28.44534804","-65.70612",NA,0,2,4,1,0,0,0,NA,NA,NA,1,0
"15",1011206155,0,NA,"-28.44769397","-65.70855",NA,0,0,3,1,0,0,0,NA,NA,NA,0,0
"16",1011208379,0,NA,"-28.44726498","-65.70983",NA,2,1,9,7,0,0,0,NA,NA,NA,0,0
"17",1011208444,0,NA,"-28.45177302","-65.71771",NA,0,0,2,0,1,0,0,NA,NA,NA,0,0
"18",1011205837,0,NA,"-28.45127396","-65.684591",NA,0,0,1,1,0,20,0,"aves de corral",1,NA,1,0
"19",1011205840,0,NA,"-28.451108","-65.685669",NA,1,2,5,0,0,0,0,NA,NA,NA,1,1
"20",1011205832,0,NA,"-28.45217602","-65.686273",NA,0,0,2,2,0,0,0,"Otros animales",1,NA,0,0
"21",1011205343,0,NA,"-28.45851501","-65.686287",NA,0,1,3,0,1,0,0,NA,NA,NA,0,0
"22",1011206049,0,NA,"-28.44963002","-65.690919",NA,0,0,3,7,0,0,0,NA,NA,NA,0,0
"23",1011206213,0,NA,"-28.44900096","-65.691034",NA,1,2,7,1,0,0,0,NA,NA,NA,0,0
"24",1011208146,0,NA,"-28.44924697","-65.691076",NA,0,5,9,3,0,0,0,NA,NA,NA,0,0
"25",1011208080,0,NA,"-28.44733899","-65.692888",NA,0,2,4,0,0,0,0,NA,NA,NA,0,0
"26",1011208062,0,NA,"-28.44684597","-65.692888",NA,0,0,2,0,0,0,0,NA,NA,NA,0,0
"27",1011206830,0,NA,"-28.451238","-65.693105",NA,2,1,4,0,0,0,0,NA,NA,NA,1,0
"28",1011205602,0,NA,"-28.45541202","-65.693277",NA,1,3,6,2,1,7,0,"Otros animales",6,NA,1,1
"29",1011208014,0,NA,"-28.44739901","-65.693493",NA,0,0,2,1,0,0,0,NA,NA,NA,0,0
"30",1011205603,0,NA,"-28.45534899","-65.693507",NA,0,2,4,5,1,0,0,NA,NA,NA,0,0
"31",1011208045,0,NA,"-28.44925996","-65.693867",NA,0,2,5,3,0,0,0,NA,NA,NA,1,0
"32",1011205329,0,NA,"-28.46827003","-65.693895",NA,0,3,5,8,4,0,0,NA,NA,NA,0,0
"33",1011208048,0,NA,"-28.44886702","-65.694025",NA,1,2,5,2,0,0,0,NA,NA,NA,0,0
"34",1011206984,0,NA,"-28.45023503","-65.694154",NA,0,0,4,3,1,0,0,NA,NA,NA,0,0
"35",1011206889,0,NA,"-28.45091304","-65.694398",NA,0,1,3,1,0,0,0,NA,NA,NA,1,1
